item_id,cluster_id,membership_prob,cosine_to_centroid,category,modality,source_tag,file_path
doc_diploma_image_8578ad09002e,-1,0.0,,diploma,image,diploma-photo,data/diploma-photo/Certificate-of-Painiting-Award-201728129.jpg
doc_invoice_image_f96795326f99,-1,0.0,,invoice,image,invoice-photo,data/invoice-photo/Invoice_98.jpg
doc_medical_image_5c4928c8fd6b,-1,0.0,,medical,image,medical-photo,data/medical-photo/skanowanie-biorezonansem-magnetycznym-naturalna-medycyna.jpg
doc_syllabus_pdf_27ad81027410,0,1.0,0.8324294914353192,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/Przedsiębiorczość.pdf
doc_syllabus_pdf_1239e7f56f85,0,1.0,0.8245819418013276,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/sylabus_102-104.pdf
doc_syllabus_pdf_9c98e25c3027,0,1.0,0.8216700263471787,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/Logika - ogólnouniwersytecki.pdf
doc_syllabus_pdf_1f163415a45e,0,1.0,0.8196545272137439,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/sylabus_75-78.pdf
doc_syllabus_pdf_d8dd53c977c0,0,0.9193474092338854,0.7844543989498654,syllabus,pdf,syllabus-pdf,data/syllabus-pdf/PW - Mechanika I.pdf
doc_food_recipe_text_8be8c4ac7c0f,1,1.0,0.6864876629668146,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0007.txt
doc_food_recipe_text_22d2b3af16e0,1,1.0,0.679041948185769,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0002.txt
doc_food_recipe_text_45c2601ff37f,1,0.9829472604620753,0.6673868461153413,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0001.txt
doc_food_recipe_text_0cb6e64ece03,1,0.9829472604620753,0.6592281246143022,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0004.txt
doc_food_recipe_text_33b7b22fdc40,1,1.0,0.6404808916024891,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0003.txt
doc_food_recipe_text_3955ce3b09ee,1,0.9810478045877778,0.6244380348353814,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0005.txt
doc_food_recipe_text_c540c416b743,1,0.9509500376927547,0.6124085837734458,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0006.txt
doc_food_recipe_text_34a9ca82c4dd,1,0.9607962560102573,0.610191969250337,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0010.txt
doc_food_recipe_text_d33b6a5e7c76,1,0.941383072647017,0.5893772589641314,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0009.txt
doc_food_recipe_text_b81104cdb1c5,1,0.9406140729809156,0.5807339209193043,food_recipe,text,food_recipe-txt,data/food_recipe-txt/PMD-recipes_text-0008.txt
doc_warranty_image_7bfd2f78cf5e,2,1.0,0.762774326620359,warranty,image,warranty-photo,data/warranty-photo/1.png
doc_warranty_image_e8087bfaa3c4,2,1.0,0.7124129771784262,warranty,image,warranty-photo,data/warranty-photo/080d61650378d79afcbe17b08b4b11c4.jpg
doc_medical_image_fd614787def2,2,1.0,0.7035468182148836,medical,image,medical-photo,data/medical-photo/1_5.jpg
doc_warranty_image_9a60e984cdc4,2,1.0,0.6963697490804286,warranty,image,warranty-photo,data/warranty-photo/samurio.png
doc_medical_image_e407bfa8d7b5,2,0.9813024402330974,0.6886713048790962,medical,image,medical-photo,data/medical-photo/alab03.png
doc_medical_image_6bec73c7211e,2,1.0,0.6467208155296895,medical,image,medical-photo,data/medical-photo/tarczyca.png
